"company_id","name"
"INE287Z01012","Gayatri Highways Limited"
"INE336H01023","Gayatri Projects Limited"
"INE916G01016","GeeCee Ventures Limited"
"INE669X01024","Geekay Wires Limited"
"INE854S01022","Generic Engineering Construction and Projects Limited"
"INE727B01026","Genesys International Corporation Limited"
"INE06H201014","Gensol Engineering Limited"
"INE949P01018","Genus Paper & Boards Limited"
"INE955D01029","Genus Power Infrastructures Limited"
"INE007B01023","Geojit Financial Services Limited"
"INE878A01011","GE Power India Limited"
"INE017A01032","The Great Eastern Shipping Company Limited"
"INE538A01037","GFL Limited"
"INE539A01019","GHCL Limited"
"INE0PA801013","GHCL Textiles Limited"
"INE289B01019","GIC Housing Finance Limited"
"INE481Y01014","General Insurance Corporation of India"
"INE047B01011","Gillanders Arbuthnot & Company Limited"
"INE322A01010","Gillette India Limited"
"INE424C01010","Ginni Filaments Limited"
"INE162A01010","Gujarat Industries Power Company Limited"
"INE528A01020","GKW Limited"
"INE068V01023","Gland Pharma Limited"
"INE159A01016","GlaxoSmithKline Pharmaceuticals Limited"
"INE935A01035","Glenmark Pharmaceuticals Limited"
"INE540A01017","Gujarat Lease Financing Limited"
"INE291W01037","Global Education Limited"
"INE0URU01010","Globale Tessile Limited"
"INE792H01019","Global Vectra Helicorp Limited"
"INE581X01021","Globe Textiles (India) Limited"
"INE615I01010","Globus Spirits Limited"
"INE350Z01018","Gloster Limited"
"INE075D01018","GM Breweries Limited"
"INE131A01031","Gujarat Mineral Development Corporation Limited"
"INE541A01023","GMM Pfaudler Limited"
"INE776C01039","GMR AIRPORTS LIMITED"
"INE0CU601026","GMR Power and Urban Infra Limited"
"INE934S01014","GNA Axles Limited"
"INE113A01013","Gujarat Narmada Valley Fertilizers and Chemicals Limited"
"INE426D01013","Goa Carbon Limited"
"INE077F01035","GOCL Corporation Limited"
"INE0BJS01011","Go Fashion (India) Limited"
"INE497S01012","Godavari Biorefineries Limited"
"INE260B01028","Godfrey Phillips India Limited"
